item_id,product_id,quantity,discount,order_status,order_date,required_date,shipped_date,customer_first_name,customer_last_name,customer_city,product_name,product_price,category_name,brand_name,store_state,stock_quantity
1,20,1,0.2,4,2016-01-01,2016-01-03,2016-01-03,Johnathan,Velazquez,Pleasanton,Electra Townie Original 7D EQ - Women's - 2016,599.99,Cruisers Bicycles,Electra,CA,26.0
2,8,2,0.07,4,2016-01-01,2016-01-03,2016-01-03,Johnathan,Velazquez,Pleasanton,Trek Remedy 29 Carbon Frameset - 2016,1799.99,Mountain Bikes,Trek,CA,13.0
3,10,2,0.05,4,2016-01-01,2016-01-03,2016-01-03,Johnathan,Velazquez,Pleasanton,Surly Straggler - 2016,1549.0,Cyclocross Bicycles,Surly,CA,15.0
4,16,2,0.05,4,2016-01-01,2016-01-03,2016-01-03,Johnathan,Velazquez,Pleasanton,Electra Townie Original 7D EQ - 2016,599.99,Cruisers Bicycles,Electra,CA,4.0
5,4,1,0.2,4,2016-01-01,2016-01-03,2016-01-03,Johnathan,Velazquez,Pleasanton,Trek Fuel EX 8 29 - 2016,2899.99,Mountain Bikes,Trek,CA,23.0
1,20,1,0.07,4,2016-01-01,2016-01-04,2016-01-03,Jaqueline,Cummings,Huntington Station,Electra Townie Original 7D EQ - Women's - 2016,599.99,Cruisers Bicycles,Electra,NY,20.0
2,16,2,0.05,4,2016-01-01,2016-01-04,2016-01-03,Jaqueline,Cummings,Huntington Station,Electra Townie Original 7D EQ - 2016,599.99,Cruisers Bicycles,Electra,NY,20.0
1,3,1,0.05,4,2016-01-02,2016-01-05,2016-01-03,Joshua,Robertson,Patchogue,Surly Wednesday Frameset - 2016,999.99,Mountain Bikes,Surly,NY,28.0
2,20,1,0.05,4,2016-01-02,2016-01-05,2016-01-03,Joshua,Robertson,Patchogue,Electra Townie Original 7D EQ - Women's - 2016,599.99,Cruisers Bicycles,Electra,NY,20.0
1,2,2,0.1,4,2016-01-03,2016-01-04,2016-01-05,Nova,Hess,Duarte,Ritchey Timberwolf Frameset - 2016,749.99,Mountain Bikes,Ritchey,CA,5.0
1,10,2,0.05,4,2016-01-03,2016-01-06,2016-01-06,Arla,Ellis,Utica,Surly Straggler - 2016,1549.0,Cyclocross Bicycles,Surly,NY,13.0
2,17,1,0.07,4,2016-01-03,2016-01-06,2016-01-06,Arla,Ellis,Utica,Pure Cycles Vine 8-Speed - 2016,429.0,Cruisers Bicycles,Pure Cycles,NY,3.0
3,26,1,0.07,4,2016-01-03,2016-01-06,2016-01-06,Arla,Ellis,Utica,Electra Townie Original 7D EQ - 2016,599.99,Comfort Bicycles,Electra,NY,2.0
1,18,1,0.07,4,2016-01-04,2016-01-07,2016-01-05,Sharyn,Hopkins,Baldwinsville,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.0,Cruisers Bicycles,Pure Cycles,NY,13.0
2,12,2,0.05,4,2016-01-04,2016-01-07,2016-01-05,Sharyn,Hopkins,Baldwinsville,Electra Townie Original 21D - 2016,549.99,Cruisers Bicycles,Electra,NY,2.0
3,20,1,0.1,4,2016-01-04,2016-01-07,2016-01-05,Sharyn,Hopkins,Baldwinsville,Electra Townie Original 7D EQ - Women's - 2016,599.99,Cruisers Bicycles,Electra,NY,20.0
4,3,2,0.07,4,2016-01-04,2016-01-07,2016-01-05,Sharyn,Hopkins,Baldwinsville,Surly Wednesday Frameset - 2016,999.99,Mountain Bikes,Surly,NY,28.0
5,9,2,0.07,4,2016-01-04,2016-01-07,2016-01-05,Sharyn,Hopkins,Baldwinsville,Trek Conduit+ - 2016,2999.99,Electric Bikes,Trek,NY,17.0
1,15,1,0.07,4,2016-01-04,2016-01-07,2016-01-05,Laureen,Paul,Bellmore,Electra Moto 1 - 2016,529.99,Cruisers Bicycles,Electra,NY,6.0
2,3,1,0.1,4,2016-01-04,2016-01-07,2016-01-05,Laureen,Paul,Bellmore,Surly Wednesday Frameset - 2016,999.99,Mountain Bikes,Surly,NY,28.0
3,17,2,0.1,4,2016-01-04,2016-01-07,2016-01-05,Laureen,Paul,Bellmore,Pure Cycles Vine 8-Speed - 2016,429.0,Cruisers Bicycles,Pure Cycles,NY,3.0
1,22,1,0.05,4,2016-01-04,2016-01-05,2016-01-05,Leslie,Higgins,Saratoga Springs,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,Children Bicycles,Electra,NY,13.0
2,20,2,0.07,4,2016-01-04,2016-01-05,2016-01-05,Leslie,Higgins,Saratoga Springs,Electra Townie Original 7D EQ - Women's - 2016,599.99,Cruisers Bicycles,Electra,NY,20.0
1,7,2,0.1,4,2016-01-05,2016-01-08,2016-01-08,Neil,Mccall,San Carlos,Trek Slash 8 27.5 - 2016,3999.99,Mountain Bikes,Trek,CA,8.0
1,14,1,0.1,4,2016-01-05,2016-01-06,2016-01-06,Alane,Munoz,Yonkers,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,Cruisers Bicycles,Electra,NY,18.0
1,8,1,0.05,4,2016-01-05,2016-01-08,2016-01-07,Tarra,Guerrero,Auburn,Trek Remedy 29 Carbon Frameset - 2016,1799.99,Mountain Bikes,Trek,NY,1.0
2,22,2,0.1,4,2016-01-05,2016-01-08,2016-01-07,Tarra,Guerrero,Auburn,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,Children Bicycles,Electra,NY,13.0
3,16,2,0.2,4,2016-01-05,2016-01-08,2016-01-07,Tarra,Guerrero,Auburn,Electra Townie Original 7D EQ - 2016,599.99,Cruisers Bicycles,Electra,NY,20.0
1,4,2,0.1,4,2016-01-06,2016-01-08,2016-01-09,Marvin,Mullins,San Diego,Trek Fuel EX 8 29 - 2016,2899.99,Mountain Bikes,Trek,CA,23.0
2,11,1,0.05,4,2016-01-06,2016-01-08,2016-01-09,Marvin,Mullins,San Diego,Surly Straggler 650b - 2016,1680.99,Cyclocross Bicycles,Surly,CA,8.0
1,13,1,0.1,4,2016-01-08,2016-01-11,2016-01-11,Patience,Clayton,Niagara Falls,Electra Cruiser 1 (24-Inch) - 2016,269.99,Cruisers Bicycles,Electra,NY,1.0
